,Designation,Age,Gender,Average Daily Working Hour,Decision Contribution,Spontaneous Participation,Task Satisfaction,Interaction Willingness,External Interaction,Informal Interaction,Personal Information Sharing,Effect On Personal Life,Appreciation From Teammates,Deadline Crossing Frequency,Overtime Frequency,Office Time Flexibility,Cheerfulness,Recreational Facilities,Hobby Time,Outdoor Activities Frequency,Family Time
0,Student,24,Male,6,Often,Agree,Moderately satisfied,Rarely,Always,Never,Sometimes,Often,Neutral,Rarely,Often,Not Flexible,Neutral,Fair,Rarely,Rarely,Rarely
1,Intern ,,Female,8,Sometimes,Agree,Very Satisfied,Always,Always,Often,Always,Rarely,Agree,Rarely,Often,Moderately Flexible,Agree,Good,Rarely,Sometimes,Sometimes
2,Student,23,Male,6,Rarely,Agree,Slightly satisfied,Sometimes,Rarely,Sometimes,Never,Never,Agree,Rarely,Often,Quite Flexible,Disagree,Fair,Rarely,Never,Rarely
3,Junior Software Engineer,24,Female,9,Sometimes,Strongly agree,Completely Satisfied,Always,Sometimes,Often,Often,Rarely,Strongly agree,Rarely,Sometimes,Sufficiently Flexible,Strongly Agree,Good,Often,Rarely,Sometimes
4,Intern,23,Male,8,Rarely,Agree,Very Satisfied,Often,Always,Always,Always,Often,Agree,Sometimes,Sometimes,Sufficiently Flexible,Agree,Excellent,Often,Always,Always
5,Software Engineer,26,Male,11,Always,Strongly agree,Completely Satisfied,Always,Always,Rarely,Rarely,Rarely,Strongly agree,Rarely,Sometimes,Very Flexible,Strongly Agree,Excellent,Always,Always,Sometimes
6,Intern,22,Female,8,Sometimes,Agree,Very Satisfied,Always,Rarely,Rarely,Often,Rarely,Agree,Sometimes,Rarely,Sufficiently Flexible,Neutral,Fair,Sometimes,Sometimes,Often
7,Intern,22,Male,2,Sometimes,Neutral,Moderately satisfied,Often,Rarely,Often,Always,Sometimes,Agree,Always,Often,Very Flexible,Neutral,Good,Often,Always,Always
8,Software Engineer I,23,Female,8,Never,Agree,Moderately satisfied,Always,Often,Sometimes,Sometimes,Rarely,Strongly agree,Rarely,Sometimes,Sufficiently Flexible,Agree,Fair,Sometimes,Rarely,Often
9,intern,24,Male,10,Rarely,Neutral,Moderately satisfied,Always,Often,Sometimes,Sometimes,Rarely,Neutral,Sometimes,Sometimes,Quite Flexible,Neutral,Poor,Rarely,Always,Sometimes
10,Software engineer,24,Male,8,Never,Agree,Slightly satisfied,Often,Often,Sometimes,Never,Always,Agree,Sometimes,Often,Sufficiently Flexible,Agree,Excellent,Often,Rarely,Sometimes
11,Intern,21,Female,9,Never,Agree,Very Satisfied,Often,Sometimes,Sometimes,Never,Never,Strongly agree,Rarely,Often,Quite Flexible,Neutral,Good,Rarely,Sometimes,Rarely
12,Student ,23,Male,5,Rarely,Neutral,Moderately satisfied,Often,Sometimes,Rarely,Sometimes,Sometimes,Agree,Rarely,Rarely,Sufficiently Flexible,Agree,Fair,Rarely,Sometimes,Sometimes
13,intern,24,Male,9,Never,Neutral,Not at all satisfied,Sometimes,Sometimes,Rarely,Rarely,Never,Agree,Sometimes,Sometimes,Quite Flexible,Disagree,Very poor,Rarely,Never,Rarely
14,Intern ,23,Male,8,Rarely,Neutral,Not at all satisfied,Always,Often,Rarely,Sometimes,Rarely,Agree,Sometimes,Rarely,Not Flexible,Agree,Excellent,Often,Sometimes,Rarely
15,Full Stack Engineer (Senior),26,Male,9,Often,Strongly agree,Very Satisfied,Often,Often,Always,Often,Rarely,Agree,Sometimes,Sometimes,Moderately Flexible,Agree,Good,Often,Often,Often
16,Head of Engineering ,23,Male,9,Often,Agree,Very Satisfied,Often,Always,Sometimes,Sometimes,Always,Strongly disagree,Sometimes,Never,Moderately Flexible,Strongly Agree,Fair,Sometimes,Never,Sometimes
17,Software engineer,26,Male,9,Never,Strongly disagree,Moderately satisfied,Often,Sometimes,Rarely,Rarely,Never,Neutral,Rarely,Often,Sufficiently Flexible,Neutral,Excellent,Sometimes,Always,Sometimes
